pos/neg#beginning#ending#id#filename#sentence
1#26#40#8920507#voplit_2010_2_er22.html#Предзнаменования- это своего рода аналог мотива героического выбора, сопутствующего выезду героя на битву: “|Луце ж бы потяту быти, неже полонену быти|”;≉ ≈-сначала └победа в битве и богатая добыча ┘(добыча, как известно, главное материальное выражение чести и славы героя);≉ ≈-затем └поражение и погибель войска, как следствие горделивой “ошибки” героя┘.
0#13#23#25116344#voplit_2010_2_er22.html#Зачастую, если герою предстоит поражение, то сначала| он легко побеждает врага, что |тоже становится своего рода дурным предзнаменованием, а если битва победная, то сначала будет временное поражение или мнимая смерть.
1#34#42#1403939#voplit_2010_2_er22.html#Плач по убитому герою всегда происходит над его телом, в данном случае, над воображаемыми “кровавыми ранами” Игоря (“|утру князю кровавыя его раны|”);≉ ≈-наконец, └славное бегство и всеобщая радость┘.
0#17#36#5573683#voplit_2010_2_er22.html#Слова Донца предвещают князю величие и веселье русской земле| (“не мало ти величия, а Кончаку нелюбия, а Руской земли| веселиа”!
1#1#13#66574375#voplit_2006_1_go2.html#≈– |Эй, вы!≉ ≈Небо!≉ ≈Снимите шляпу!≉ ≈Я иду|!≉   └В.
0#11#31#5732404#voplit_2006_1_go2.html#«Облако в штанах» ┘≉  ≈Итак, я |приехал сюда – дышать пылью, гулять с собаками, смотреть на скалы или| кактусы и считать, что я первый из людей, кто все это видит.
1#18#54#32123686#voplit_2006_1_go2.html#5), где в контексте современной отечественной литературы и литературного «|времени» анализирую роль └молодых┘ и делаю попытку ответить на вопрос: «А есть ли у нас └такой┘ род литературы вообще|?»≉ ≈Нет, не дает этот вопрос покоя многим.
0#24#39#6352001#voplit_2006_1_go2.html#Пример: присутствовала я на одной, скажем так, встрече критиков и литературоведов, где, |помимо всего, обсуждалась и тема ближайшего критического мероприятия.|
1#1#60#4195380#voplit_2006_1_go2.html#≉  ≈|У меня в душе ни одного седого волоса,≉ ≈И старческой нежности нет в ней!≉ ≈Мир огромив мощью голоса,≉ ≈иду – красивый,≉ ≈двадцатидвухлетний <…> ≉  ≈Allo!≉ ≈Кто говорит?≉ ≈Мама?≉ ≈Мама!≉ ≈Ваш сын прекрасно болен|!≉ ≈Мама!≉ ≈У него пожар сердца.≉ ≈Скажите сестрам, Люде и Оле, –≉ ≈Ему уже некуда деться.≉  ≈Совпадает даже возраст лирических героев.
0#6#30#10613868#voplit_2006_1_go2.html#≉ ≈Но если у| Маяковского – поэма, то у Шаргунова – агитка: ≉ ≈«Читатель, разорви пачку, разом переломи сигареты.|
1#1#23#20394829#voplit_2006_1_go2.html#≉ ≈|Но если не спать, «положив на лапу с клещами звезд огромное ухо|», если прислушаться к этим нехитрым схемам, услышать личность Маяковского, узнать первоисточник, который автоматически нагружает «Ура!» вторыми и третьими слоями, сквозь слои первые пробьется: ≉ ≈Читатель!
0#1#9#1660512#voplit_2006_1_go2.html#Оно| лучше, чем тебе кажется.|
1#4#14#83249036#voplit_2006_1_go2.html#Как известно, «|в жизни всегда есть место подвигу|».
0#2#31#4448753#voplit_2006_1_go2.html#Или |как говорит бургомистр в пьесе Г. Горина «Тот самый Мюнхгаузен»: «Я каждое утро должен быть |в магистрате.
1#80#101#2080306#nlo_2009_97_cha17.html#Тут можно использовать терминологию И. Пригожина: земли эти в романе понимаются как своего рода диссипативные структуры, спокойные “закоулки” на общей кривой исторического развития… 9 ≉ Не относясь к laudatores temoris acti (“хвалебщики истории”), но и не повторяя пушкинского Пимена с его “|Добру и злу внимая равнодушно, / Не ведая ни жалости, ни горя…|”, Шубин пытается всего лишь более или менее здраво осмыслить происходящее, трезво и прочувствованно зафиксировать его в своем сознании – историка былых времен и современника нынешних.
0#9#64#74411732#nlo_2009_97_cha17.html#≉ Именно в передаче этой, |на первый взгляд, необязательной конкретики быта 1990-х годов, в ненавязчивом поиске некоторых атмосферных соответствий, созвучий в грозной музыке эпохи, а отнюдь не в создании “Русской Прозы” со |многими сюжетными линиями – главная прелесть этого романа.
