13 (В. Кожемяко).≉ ≈|Если звезды зажигают, значит, это кому-нибудь| нужно // МП.
1┘Послесловие к статье “|Петербург и “петербургский текст” русской литературы|”… // Метафизика Петербурга.
1≉ Благ зиждителя закон: ≉ |Здесь несчастье – лживый сон, ≉ Счастье – пробужденье|”.
1Валльями куда больше интересуют| те, кто на той войне сражался|, и выжившие, с которыми он поддерживал длительные и близкие взаимоотношения.
1“На войне пели “|Когда я на почте служил ямщиком…|”, “Вот мчится тройка удалая…”, “Как во той степи замерзал ямщик…”.
1Символически – как борьба за| право доказать, что ты лучший – потому|, что ты готов хлопать до смерти, что ты заслуживаешь право вырваться во временную бесконечность, где нет конца аплодисментам.
1Булгакова по долгу службы| и знающему (“Единица – вздор, единица – ноль|”, коллектив – он знает.
1Басинский сразу же отреагировал| на вопрос “А был ли Горький?|”: не случайно книжка Быкова стоит последней в библиографии.
1≉ ≉ Расширенный вариант статьи “|Петербург и “Петербургский текст” русской литературы (Введение в тему|)” вовсе не открывает собой том трудов ученого, в существенной части посвященный этой теме, – авторский сборник 1995 года о мифе, ритуале, символе и образе.
1≉ В манифесте футуристов «|Пощечина общественному вкусу» (1912) стояло: ≉  Бросить Пушкина, Достоевского, Толстого и проч|.
1И тут пришло на| ум – взять да и огласить, как на поверке, знаме- нитые имена его ровесников| (в диапазоне 2–3 лет).
1Поливанов ┘задался вопросом о| том, а был ли мальчик, то есть утонувший студент, в реальности или же все сводится к литературным подтекстам, но признал, что на этот вопрос невозможно ответить ни положительно, ни отрицательно, после чего отправился делать свой собственный доклад, тема которого формулировалась следующим образом: └“О поэтической “глухоте|” в “Определении поэзии” Пастернака”.
