1Слоган “|Рукописи не горят|!” очень скоро сменился на рекламных растяжках слоганом “Хранить вечно”, и экранизация “В круге первом” (“Россия”) включилась в вынужденную конкуренцию с новой телеверсией “Золотого теленка” (Первый канал).
0И, |может быть, в конце концов разобьется о несовершенство нашего законодательства, о неопытность или невежество наших прокуроров и судей и еще, надо думать, - о те невидимые подковерные силы, которые всегда присутствуют в нашем правосудии (кто-то позвонил, “надавил|”, “посоветовал”….
1Которого – в полном объеме – не было.≉ Во второй строфе фетовского “|Когда мои мечты за гранью прошлых дней…” речь идет о первой любви: “Не жаль мне детских игр, не жаль мне тихих снов, / Тобой так сладостно и больно возмущенных / В те дни, как постигал я первую любовь / По бунту чувств неугомонных…” Издавая книгу “За гранью прошлых дней|” (1920!
1Пожалуй, лучшей иллюстрацией к этим словам будут такие пушкинские строчки:≉ ≉ |Два чувства дивно близки нам -≉ В них обретает сердце пищу -≉ Любовь к родному пепелищу,≉ Любовь к отеческим гробам.≉ ≉ Животворящая святыня!≉ Земля была б> без них мертва,≉ Как 	пустыня≉ И как алтарь без божества.≉ ≉ (Может быть, стоит привести и вариант второй строфы:≉ ≉ На них основано от века≉ По воле Бога самого≉ Самостоянье человека≉ Залог величия его|.
