аленький	цветочек
останавливаться	оглянуться
полифонический	роман
память	жанр
чужой	слово
сборная	цитата
россия	сфинкс
театральный	роман
нехороший	квартира
сдавать	валюта
верный	руслан
молчать	наука
проклятый	буржуин
поколение	обреченный
филологический	роман
птичий	язык
казенный	патриотизм
миргородский	лужа
немой	сцена
игра	природа
кувшинный	рыло
мышиный	жеребчик
искренний	излияние
презренный	металл
море	смеяться
механический	гражданин
несвоевременный	мысль
музыка	толстый
екатерина	возрыдать
великий	инквизитор
подпольный	парадоксалист
случайный	семейство
литературный	генерал
гражданский	слеза
русский	скитальчество
кавалерист	девица
литературный	вандея
господи	отеляться
маловысокохудожественный	стих
эрос	невозможный
великий	комбинатор
заседание	продолжаться
участник	концессия
голубой	воришка
песня	народность
писать	письмо
надувать	щека
остап	нести
хамить	парниша
воленс	неволенс
автор	гаврилиада
скучно	девушка
гроссмейстер	сыграть
любитель	бить
гражданин	аллилуйщик
эх	прокатить
подпольный	миллионер
нарушитель	конвенция
кризис	жанр
идеология	заедать
вороний	слободка
пикейный	жилет
универсальный	штемпель
какой	фемина
литературный	обойма
мальчишка	свистун
уценивать	блок
заумный	язык
соловей	генштаб
зеленый	друг
неистовый	ревнитель
паркетный	столпничество
краснокожий	паспортина
тринадцатый	апостол
товарищ	правительство
ритмический	гул
лобачевский	поэзия
коммунист	вперед
торжествовать	пошлость
каяться	дворянин
великий	самоучка
юноша	гений
заговор	чувство
вечный	труженик
энегрично	фукцировать
мыслящий	пролетариат
литературный	власовец
кисейный	девушка
веселенький	пейзажик
вселенский	смазь
критик	космополит
теория	бесконфликтность
лакировка	действительность
древо	яд
все	утапливать
утаивать	любовь
лукавый	царедворец
народ	безмолвствовать
каков	кирджали
заячий	тулуп
сентиментальный	тигр
звук	италианский
гений	перевод
писатель	людовед
гнилой	либерализм
пенкосниматель	пенкоснимательство
престол	отечество
торжествовать	свинья
шкурный	инстинкт
государственный	младенец
эзопов	язык
рабий	язык
мягкотелый	интеллигент
надо	годить
шкурный	вопрос
собиратель	статистика
гороховый	пальто
подумать	штирлиц
золото	партия
вздорный	ода
душа	надобный
сопрягать	надо
нет	изюминка
зеленый	палочка
славянский	распущенность
центральный	натура
лишний	человек
перевертывать	россия
лирический	герой
четверть	лошадь
степь	отпевать
диалектика	душа
проницательный	читатель
хрустальный	дворец
человек	забывать
пропадать	жизнь
кровь	жажда
бяка	закаляк
лепой	нелепица
предупреждать	надо
поэзия	мысль
непоротый	поколение
идеологический	роман
убивать	немец
великий	провокатор
болдинский	осень
высоко	пушкин
гнилой	запад
гражданский	скорбь
иронический	детектив
король	поэт
литературный	отщепенец
маразм	крепчать
напостовский	дубинка
отрицательный	направление
пушкинский	плеяда
